date,symbol,name,open,close,high,low,volume
2018-01-02,00719,新华制药H,8.3,8.19,8.34,8.17,304000.0
2018-01-03,00719,新华制药H,8.26,8.26,8.32,8.2,298000.0
2018-01-04,00719,新华制药H,8.3,8.1,8.33,8.1,736000.0
2018-01-05,00719,新华制药H,8.16,8.05,8.29,8.01,348000.0
2018-01-08,00719,新华制药H,8.09,8.23,8.28,8.04,698000.0
2018-01-09,00719,新华制药H,8.23,9.16,9.19,8.23,3140000.0
2018-01-10,00719,新华制药H,9.2,9.03,9.2,8.91,648000.0
2018-01-11,00719,新华制药H,9.04,9.03,9.14,8.91,938000.0
2018-01-12,00719,新华制药H,9.0,8.76,9.0,8.68,906000.0
2018-01-15,00719,新华制药H,8.7,8.52,8.88,8.51,504400.0
2018-01-16,00719,新华制药H,8.54,8.65,8.79,8.5,400000.0
2018-01-17,00719,新华制药H,8.8,8.42,8.95,8.26,1438000.0
2018-01-18,00719,新华制药H,8.41,8.39,8.63,8.38,1010000.0
2018-01-19,00719,新华制药H,8.39,8.26,8.41,8.23,632000.0
2018-01-22,00719,新华制药H,8.35,8.35,8.45,8.27,388000.0
2018-01-23,00719,新华制药H,8.36,8.36,8.44,8.31,398000.0
2018-01-24,00719,新华制药H,8.36,8.6,8.69,8.27,570000.0
2018-01-25,00719,新华制药H,8.77,9.1,9.18,8.74,2720000.0
2018-01-26,00719,新华制药H,9.12,8.88,9.12,8.83,476000.0
2018-01-29,00719,新华制药H,8.88,8.85,8.92,8.82,348000.0
2018-01-30,00719,新华制药H,8.73,8.56,8.8,8.42,412000.0
2018-01-31,00719,新华制药H,8.46,8.7,8.73,8.37,378000.0
2018-02-01,00719,新华制药H,8.86,8.8,8.86,8.5,308000.0
2018-02-02,00719,新华制药H,8.8,8.65,8.8,8.5,282000.0
2018-02-05,00719,新华制药H,8.36,8.46,8.47,8.32,366000.0
2018-02-06,00719,新华制药H,8.22,8.22,8.25,7.8,1196000.0
2018-02-07,00719,新华制药H,8.35,8.03,8.35,7.81,604000.0
2018-02-08,00719,新华制药H,7.94,8.03,8.1,7.77,350000.0
2018-02-09,00719,新华制药H,7.52,7.59,7.8,7.45,690000.0
2018-02-12,00719,新华制药H,7.49,7.6,7.6,7.49,428000.0
2018-02-13,00719,新华制药H,8.36,7.72,8.36,7.72,204000.0
2018-02-14,00719,新华制药H,7.55,7.46,7.58,7.38,349462.0
2018-02-15,00719,新华制药H,7.51,7.6,7.6,7.51,190000.0
2018-02-20,00719,新华制药H,7.66,7.86,7.95,7.6,310000.0
