symbol,name,date,open,close,high,low,volume
300636,同和药业,2017-03-31,4.617,5.112,5.112,4.617,36.0
300636,同和药业,2017-04-05,5.654,5.654,5.654,5.654,27.0
300636,同和药业,2017-04-06,6.25,6.25,6.25,6.25,11.0
300636,同和药业,2017-04-07,6.906,6.906,6.906,6.906,38.0
300636,同和药业,2017-04-10,7.628,7.628,7.628,7.628,44.0
300636,同和药业,2017-04-11,8.422,8.422,8.422,8.422,59.0
300636,同和药业,2017-04-12,9.297,9.297,9.297,9.297,57.0
300636,同和药业,2017-04-13,10.258,10.258,10.258,10.258,106.0
300636,同和药业,2017-04-14,11.315,11.315,11.315,11.315,473.0
300636,同和药业,2017-04-17,11.404,10.151,11.404,10.151,72793.0
300636,同和药业,2017-04-18,9.875,9.992,10.435,9.875,43844.0
300636,同和药业,2017-04-19,9.867,10.505,10.615,9.706,49020.0
300636,同和药业,2017-04-20,10.362,10.102,10.469,9.927,37082.0
300636,同和药业,2017-04-21,10.12,10.141,10.461,10.12,31385.0
300636,同和药业,2017-04-24,10.011,9.677,10.016,9.625,27231.0
300636,同和药业,2017-04-25,9.711,9.753,9.987,9.711,22227.0
300636,同和药业,2017-04-26,9.714,9.883,10.016,9.711,19809.0
300636,同和药业,2017-04-27,9.659,10.904,10.904,9.599,45075.0
300636,同和药业,2017-04-28,11.013,10.904,11.112,10.63,36970.0
300636,同和药业,2017-05-02,10.828,10.922,11.125,10.716,29903.0
300636,同和药业,2017-05-03,10.867,11.143,11.169,10.419,48910.0
300636,同和药业,2017-05-04,10.901,10.36,10.901,10.36,39003.0
300636,同和药业,2017-05-05,10.354,9.893,10.354,9.893,29911.0
300636,同和药业,2017-05-08,9.841,9.755,9.969,9.75,18329.0
300636,同和药业,2017-05-09,9.776,10.024,10.063,9.758,18119.0
300636,同和药业,2017-05-10,10.021,9.646,10.123,9.643,21738.0
300636,同和药业,2017-05-11,9.503,9.834,9.834,9.373,20311.0
300636,同和药业,2017-05-12,9.841,9.917,10.011,9.735,17067.0
300636,同和药业,2017-05-15,9.919,9.794,10.076,9.753,13467.0
300636,同和药业,2017-05-16,9.794,10.016,10.034,9.568,18346.0
300636,同和药业,2017-05-17,9.995,9.995,10.227,9.93,18424.0
300636,同和药业,2017-05-18,9.875,9.834,10.063,9.763,12744.0
300636,同和药业,2017-05-19,9.834,9.636,9.896,9.61,11430.0
300636,同和药业,2017-05-22,9.682,8.93,9.682,8.878,21562.0
300636,同和药业,2017-05-23,8.875,8.534,8.977,8.487,16717.0
300636,同和药业,2017-05-24,8.487,8.682,8.724,8.464,11683.0
300636,同和药业,2017-05-25,8.646,8.688,8.748,8.451,13150.0
300636,同和药业,2017-05-26,8.669,8.888,9.05,8.651,12296.0
300636,同和药业,2017-05-31,9.321,8.979,9.49,8.932,19266.0
300636,同和药业,2017-06-01,8.893,8.5,8.982,8.487,12508.0
300636,同和药业,2017-06-02,8.498,8.807,8.922,8.386,8881.0
300636,同和药业,2017-06-05,8.953,9.034,9.133,8.925,10620.0
300636,同和药业,2017-06-06,8.93,9.039,9.097,8.914,5626.0
300636,同和药业,2017-06-07,9.05,9.349,9.432,9.026,16980.0
300636,同和药业,2017-06-08,9.347,9.25,9.38,9.117,12505.0
300636,同和药业,2017-06-09,9.321,9.459,9.685,9.307,18447.0
300636,同和药业,2017-06-12,9.203,9.003,9.222,8.828,13248.0
300636,同和药业,2017-06-13,8.927,9.216,9.242,8.886,8682.0
300636,同和药业,2017-06-14,9.216,9.117,9.229,9.021,6924.0
300636,同和药业,2017-06-15,9.13,9.193,9.373,9.123,11581.0
300636,同和药业,2017-06-16,9.242,9.227,9.339,9.154,7036.0
300636,同和药业,2017-06-19,9.216,9.19,9.315,9.086,5656.0
300636,同和药业,2017-06-20,9.242,9.021,9.279,9.0,8012.0
300636,同和药业,2017-06-21,9.037,9.055,9.112,8.956,5533.0
300636,同和药业,2017-06-22,9.013,8.8,9.055,8.8,8291.0
300636,同和药业,2017-06-23,8.854,8.776,8.862,8.516,7503.0
300636,同和药业,2017-06-26,8.776,8.865,8.875,8.672,4740.0
300636,同和药业,2017-06-27,8.831,8.789,8.953,8.766,4363.0
300636,同和药业,2017-06-28,8.774,8.623,8.774,8.591,4899.0
300636,同和药业,2017-06-29,8.625,8.638,8.768,8.565,4042.0
300636,同和药业,2017-06-30,8.638,8.794,8.813,8.573,5955.0
300636,同和药业,2017-07-03,8.761,8.886,8.901,8.722,4420.0
300636,同和药业,2017-07-04,8.886,8.873,8.893,8.8,3777.0
300636,同和药业,2017-07-05,8.865,9.008,9.029,8.839,7250.0
300636,同和药业,2017-07-06,9.026,9.097,9.13,8.919,8885.0
300636,同和药业,2017-07-07,9.107,9.214,9.3,9.089,13825.0
300636,同和药业,2017-07-10,9.149,8.81,9.149,8.805,10874.0
300636,同和药业,2017-07-11,8.8,8.735,8.899,8.714,4965.0
300636,同和药业,2017-07-12,8.748,8.841,8.901,8.555,6702.0
300636,同和药业,2017-07-13,8.8,8.732,8.8,8.696,3630.0
300636,同和药业,2017-07-14,8.8,8.74,8.886,8.709,5575.0
300636,同和药业,2017-07-17,8.667,7.862,8.667,7.839,12871.0
300636,同和药业,2017-07-18,7.763,7.992,7.992,7.761,6095.0
300636,同和药业,2017-07-19,8.117,8.021,8.117,7.901,3985.0
300636,同和药业,2017-07-20,8.086,8.003,8.274,7.969,5694.0
300636,同和药业,2017-07-21,7.969,7.938,8.094,7.888,4103.0
300636,同和药业,2017-07-24,7.914,8.011,8.05,7.735,5607.0
300636,同和药业,2017-07-25,7.987,8.011,8.05,7.953,2993.0
300636,同和药业,2017-07-26,8.037,7.938,8.063,7.888,3306.0
300636,同和药业,2017-07-27,7.987,8.193,8.268,7.891,7861.0
300636,同和药业,2017-07-28,8.151,8.084,8.219,8.06,5039.0
300636,同和药业,2017-07-31,8.084,8.146,8.206,8.018,3053.0
300636,同和药业,2017-08-01,8.146,8.159,8.182,8.037,3626.0
300636,同和药业,2017-08-02,8.159,7.94,8.182,7.94,4179.0
300636,同和药业,2017-08-03,7.943,8.021,8.146,7.94,4279.0
300636,同和药业,2017-08-04,7.995,7.906,8.063,7.901,4243.0
300636,同和药业,2017-08-07,7.914,8.011,8.052,7.909,2999.0
300636,同和药业,2017-08-08,8.055,8.0,8.055,7.914,2765.0
