date,equity,cash,position,close,ATR,DC_upper,DC_lower,DC_exit_lower,stock,code
2018-02-26,50000.0,50000.0,0,7.763,0.3476,10.22,7.26,7.26,新华制药,000756
2018-02-27,50000.0,50000.0,0,7.894,0.346,10.22,7.26,7.26,新华制药,000756
2018-02-28,50000.0,50000.0,0,7.878,0.3414,10.22,7.26,7.26,新华制药,000756
2018-03-01,50000.0,50000.0,0,7.955,0.3332,10.22,7.26,7.26,新华制药,000756
2018-03-02,50000.0,50000.0,0,8.409,0.3454,10.22,7.26,7.26,新华制药,000756
2018-03-05,50000.0,50000.0,0,8.155,0.3451,10.22,7.26,7.26,新华制药,000756
2018-03-06,50000.0,50000.0,0,8.232,0.3382,9.93,7.26,7.26,新华制药,000756
2018-03-07,50000.0,50000.0,0,8.232,0.3275,9.64,7.26,7.26,新华制药,000756
2018-03-08,50000.0,50000.0,0,8.278,0.3322,9.64,7.26,7.26,新华制药,000756
2018-03-09,50000.0,50000.0,0,8.44,0.3291,9.64,7.26,7.46,新华制药,000756
2018-03-12,50000.0,50000.0,0,8.578,0.3211,9.39,7.26,7.56,新华制药,000756
2018-03-13,49986.17,43663.77,700,9.032,0.3496,9.04,7.26,7.75,新华制药,000756
2018-03-14,49813.97,43663.77,700,8.786,0.349,9.47,7.26,7.75,新华制药,000756
2018-03-15,49695.67,43663.77,700,8.617,0.3504,9.47,7.26,7.8,新华制药,000756
2018-03-16,49690.07,43663.77,700,8.609,0.3487,9.47,7.26,7.93,新华制药,000756
2018-03-19,49576.67,43663.77,700,8.447,0.3412,9.47,7.26,8.07,新华制药,000756
2018-03-20,43155.56,43155.56,0,8.67,0.3472,9.47,7.26,8.12,新华制药,000756
2018-03-21,43155.56,43155.56,0,8.447,0.3483,9.47,7.26,8.14,新华制药,000756
2018-03-22,43155.56,43155.56,0,8.309,0.3444,9.47,7.26,8.14,新华制药,000756
2018-03-23,43155.56,43155.56,0,7.74,0.3672,9.47,7.46,8.25,新华制药,000756
2018-03-26,43155.56,43155.56,0,8.024,0.3681,9.47,7.51,7.51,新华制药,000756
2018-03-27,43155.56,43155.56,0,8.178,0.3647,9.47,7.51,7.51,新华制药,000756
2018-03-28,43155.56,43155.56,0,8.032,0.3633,9.47,7.51,7.51,新华制药,000756
2018-03-29,43155.56,43155.56,0,8.163,0.3571,9.47,7.51,7.51,新华制药,000756
2018-03-30,43155.56,43155.56,0,8.332,0.3493,9.47,7.51,7.51,新华制药,000756
2018-04-02,43155.56,43155.56,0,8.547,0.3464,9.47,7.51,7.51,新华制药,000756
2018-04-03,43155.56,43155.56,0,8.494,0.3394,9.47,7.51,7.51,新华制药,000756
2018-04-04,43155.56,43155.56,0,8.524,0.354,9.47,7.51,7.51,新华制药,000756
2018-04-09,43155.56,43155.56,0,8.363,0.3502,9.47,7.51,7.51,新华制药,000756
2018-04-10,43155.56,43155.56,0,8.409,0.3442,9.47,7.51,7.51,新华制药,000756
2018-04-11,43155.56,43155.56,0,8.424,0.3331,9.47,7.51,7.67,新华制药,000756
2018-04-12,43155.56,43155.56,0,8.84,0.3422,9.47,7.51,7.95,新华制药,000756
2018-04-13,43155.56,43155.56,0,8.77,0.3459,9.11,7.51,7.95,新华制药,000756
2018-04-16,43155.56,43155.56,0,8.601,0.3405,9.11,7.51,7.95,新华制药,000756
2018-04-17,43155.56,43155.56,0,8.317,0.3508,9.11,7.51,8.17,新华制药,000756
2018-04-18,43155.56,43155.56,0,8.486,0.3528,9.11,7.51,8.12,新华制药,000756
2018-04-19,43155.56,43155.56,0,8.67,0.3498,9.11,7.51,8.11,新华制药,000756
2018-04-20,43155.56,43155.56,0,8.632,0.3546,9.11,7.51,8.11,新华制药,000756
2018-04-23,43155.56,43155.56,0,8.74,0.3534,9.11,7.51,8.11,新华制药,000756
2018-04-24,43155.56,43155.56,0,8.809,0.3415,9.11,7.51,8.11,新华制药,000756
2018-04-25,43155.56,43155.56,0,9.078,0.3456,9.11,7.67,8.11,新华制药,000756
2018-04-26,42954.64,37664.44,600,8.817,0.3452,9.11,7.95,8.11,新华制药,000756
2018-04-27,43069.84,37664.44,600,9.009,0.3441,9.14,7.95,8.11,新华制药,000756
2018-05-02,43240.84,37664.44,600,9.294,0.3415,9.14,7.95,8.11,新华制药,000756
2018-05-03,43171.24,37664.44,600,9.178,0.3383,9.3,8.11,8.11,新华制药,000756
2018-05-04,43083.64,37664.44,600,9.032,0.3314,9.3,8.11,8.11,新华制药,000756
2018-05-07,43294.9,33004.4,1100,9.355,0.336,9.3,8.11,8.38,新华制药,000756
2018-05-08,43345.5,33004.4,1100,9.401,0.328,9.46,8.11,8.41,新华制药,000756
2018-05-09,43193.7,33004.4,1100,9.263,0.3231,9.46,8.11,8.46,新华制药,000756
2018-05-10,43329.0,33004.4,1100,9.386,0.3189,9.46,8.11,8.65,新华制药,000756
2018-05-11,42723.73,29210.23,1500,9.009,0.3303,9.46,8.11,8.65,新华制药,000756
2018-05-14,42596.23,29210.23,1500,8.924,0.3245,9.56,8.11,8.8,新华制药,000756
2018-05-15,28459.98,28459.98,0,8.932,0.3175,9.56,8.11,8.82,新华制药,000756
2018-05-16,28459.98,28459.98,0,9.109,0.3224,9.56,8.11,8.81,新华制药,000756
2018-05-17,28459.98,28459.98,0,8.84,0.324,9.56,8.11,8.81,新华制药,000756
2018-05-18,28459.98,28459.98,0,8.67,0.3266,9.56,8.11,8.81,新华制药,000756
2018-05-21,28459.98,28459.98,0,8.786,0.3172,9.56,8.38,8.52,新华制药,000756
2018-05-22,28459.98,28459.98,0,8.878,0.3079,9.56,8.41,8.52,新华制药,000756
2018-05-23,28459.98,28459.98,0,8.74,0.3033,9.56,8.46,8.52,新华制药,000756
2018-05-24,28459.98,28459.98,0,8.732,0.2943,9.56,8.52,8.52,新华制药,000756
2018-05-25,28459.98,28459.98,0,8.901,0.2938,9.56,8.52,8.52,新华制药,000756
2018-05-28,28459.98,28459.98,0,8.994,0.2933,9.56,8.52,8.52,新华制药,000756
2018-05-29,28459.98,28459.98,0,8.786,0.2983,9.56,8.52,8.52,新华制药,000756
2018-05-30,28459.98,28459.98,0,8.117,0.3191,9.56,8.52,8.52,新华制药,000756
2018-05-31,28459.98,28459.98,0,8.194,0.3124,9.56,8.07,8.07,新华制药,000756
2018-06-01,28459.98,28459.98,0,7.94,0.3122,9.56,8.07,8.07,新华制药,000756
2018-06-04,28459.98,28459.98,0,7.686,0.3139,9.56,7.89,7.89,新华制药,000756
2018-06-05,28459.98,28459.98,0,7.847,0.3101,9.56,7.66,7.66,新华制药,000756
2018-06-06,28459.98,28459.98,0,7.87,0.3019,9.56,7.66,7.66,新华制药,000756
2018-06-07,28459.98,28459.98,0,7.786,0.2991,9.56,7.66,7.66,新华制药,000756
2018-06-08,28459.98,28459.98,0,7.555,0.2996,9.56,7.66,7.66,新华制药,000756
2018-06-11,28459.98,28459.98,0,7.44,0.2926,9.29,7.48,7.48,新华制药,000756
2018-06-12,28459.98,28459.98,0,7.586,0.2891,9.29,7.39,7.39,新华制药,000756
2018-06-13,28459.98,28459.98,0,7.332,0.2908,9.29,7.39,7.39,新华制药,000756
2018-06-14,28459.98,28459.98,0,7.34,0.2855,9.17,7.26,7.26,新华制药,000756
2018-06-15,28459.98,28459.98,0,7.301,0.2805,9.14,7.26,7.26,新华制药,000756
2018-06-19,28459.98,28459.98,0,6.455,0.3095,9.14,7.21,7.21,新华制药,000756
2018-06-20,28459.98,28459.98,0,6.517,0.3052,9.14,6.44,6.44,新华制药,000756
2018-06-21,28459.98,28459.98,0,6.34,0.3046,9.14,6.44,6.44,新华制药,000756
2018-06-22,28459.98,28459.98,0,6.424,0.3032,9.14,6.32,6.32,新华制药,000756
2018-06-25,28459.98,28459.98,0,6.432,0.2953,9.14,6.19,6.19,新华制药,000756
2018-06-26,28459.98,28459.98,0,6.463,0.289,9.14,6.19,6.19,新华制药,000756
2018-06-27,28459.98,28459.98,0,6.455,0.2807,9.14,6.19,6.19,新华制药,000756
2018-06-28,28459.98,28459.98,0,6.394,0.2728,8.51,6.19,6.19,新华制药,000756
2018-06-29,28459.98,28459.98,0,6.655,0.2746,8.29,6.19,6.19,新华制药,000756
2018-07-02,28459.98,28459.98,0,6.401,0.2812,8.19,6.19,6.19,新华制药,000756
2018-07-03,28459.98,28459.98,0,6.478,0.2749,8.01,6.19,6.19,新华制药,000756
2018-07-04,28459.98,28459.98,0,6.332,0.2719,7.95,6.19,6.19,新华制药,000756
2018-07-05,28459.98,28459.98,0,5.963,0.2798,7.95,6.19,6.19,新华制药,000756
2018-07-06,28459.98,28459.98,0,6.078,0.2805,7.95,5.96,5.96,新华制药,000756
2018-07-09,28459.98,28459.98,0,6.27,0.2772,7.73,5.89,5.89,新华制药,000756
